task_id,hash,native_id,process,name,status,exit,cpus,memory,submit,start,complete,duration,realtime,%cpu,peak_rss,peak_vmem,hostname,cpu_model
3,67/55b5b8,nf-6755b5b8c47f820ca69c7bede8f44d33-f43c6,NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,1,6442450944,1781051135289,1781051135000,1781051205000,69711,62173,12.9,5505024,11898880,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
2,f3/41b325,nf-f341b3255e3288adae0740fc4f22f7e8-44cfb,NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER,NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (genes.filtered),COMPLETED,0,1,6442450944,1781051135311,1781051136000,1781051228000,92689,85000,15.8,15728640,28200960,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
7,b1/cf0e40,nf-b1cf0e402d679cbfe5a69efce2b2c153-74146,NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,48,90194313216,1781051246003,1781051246000,1781051348000,101997,95019,45.9,1187557376,1519874048,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
1,28/921b9d,nf-28921b9d73a3ff3727cd26a715b32e8b-25ce5,NFCORE_RNASEQ:PREPARE_GENOME:STAR_GENOMEPARAMS_UPGRADE,NFCORE_RNASEQ:PREPARE_GENOME:STAR_GENOMEPARAMS_UPGRADE (input_index),COMPLETED,0,1,6442450944,1781051817092,1781051819000,1781051829000,11908,277,28.2,3145728,5017600,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
4,b2/62dacb,nf-b262dacba81f2c9eeba74ee9d65073c0-94d03,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (GM12878_REP1),COMPLETED,0,16,25769803776,1781051368648,1781051369000,1781051876000,507352,500000,77.1,683409408,689070080,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
5,07/962feb,nf-07962febd8e9bd2e0c23605f9f644a2b-c506c,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (GM12878_REP2),COMPLETED,0,16,25769803776,1781051367933,1781051368000,1781051997000,629067,617000,66.1,681836544,689070080,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
11,cb/22e138,nf-cb22e1383a43bd1a9ebc447f7361c76c-a31f7,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP1),COMPLETED,0,16,25769803776,1781051880171,1781051880000,1781052441000,560829,556000,198.9,4038033408,30130454528,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
10,39/02607a,nf-3902607add8aa3b3ee6c1d395abeb25b-78c43,NFCORE_RNASEQ:PREPARE_GENOME:SALMON_INDEX,NFCORE_RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa),COMPLETED,0,32,45097156608,1781051369116,1781051369000,1781052624000,1254884,1220000,923.3,19606392832,68931788800,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
14,05/602e97,nf-05602e973adfd750ae90c32ea043c14e-5b43a,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP2),COMPLETED,0,16,25769803776,1781052003039,1781052003000,1781052903000,899961,891000,123.7,3727839232,30048714752,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
12,d6/a6e2dc,nf-d6a6e2dc113e47ab982a332e2364b01e-0744f,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP1),COMPLETED,0,8,17179869184,1781051880188,1781051880000,1781053284000,1403812,1398268,105.6,88969216,639905792,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
6,5f/e98d6e,nf-5fe98d6eda0eecfeafb535761c8f27ca-f4e5d,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (K562_REP1),COMPLETED,0,16,25769803776,1781053101741,1781053102000,1781053765000,663259,658000,58.9,680263680,687984640,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
13,dd/bb4382,nf-ddbb438247b289ff06d396b7015b5020-e376f,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP2),COMPLETED,0,8,17179869184,1781052003054,1781052003000,1781053801000,1797946,1792100,85.0,82108416,637779968,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
17,aa/61e446,nf-aa61e44689caf69a929ed8ba87afc7db-56a5d,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (GM12878_REP1),COMPLETED,0,16,25769803776,1781053305084,1781053305000,1781053868000,562916,557000,73.3,683409408,689000448,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
8,09/33c5f3,nf-0933c5f3b5bc9df70373f9e1ebed9b2f-780e0,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (K562_REP2),COMPLETED,0,16,25769803776,1781053165235,1781053165000,1781053978000,812765,806000,60.3,680263680,689070080,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
