,task_id,hash,native_id,process,tag,name,hostname,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,env,CPU_energy_consumption,DRAM_energy_consumption,energy_consumption,avg_power
0,11,e2/b45fd1,nf-e2b45fd1c49068bf5d9f582ee7e1c190-b0324,NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,wgs_calling_regions_noseconds.hg38.bed,NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed),hu-worker-c38,COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,4h,-,1 GB,1,2025-11-15 09:30:22.678,2025-11-15 09:30:23.000,2025-11-15 09:30:24.000,1.0,0ms,-,84.2,0.0%,2.7,11.0,2.7 MB,11 MB,0.0581,0.0091,150,37,0.0,0.092,1,0,PYTHONNOUSERSITE=1,134.918478,18.916262,153.83473999999998,153.83473999999998
1,2,7a/6f478a,nf-7a6f478aae5bb7b7376e816566e33784-67874,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED,wgs_calling_regions_noseconds.hg38,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38),hu-worker-c37,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:22.337,2025-11-15 09:30:23.000,2025-11-15 09:30:24.000,1.0,0ms,-,36.0,0.0%,3.1,4.3,3.1 MB,4.3 MB,0.123,0.0121,234,48,1.7,0.016,4,7,PYTHONNOUSERSITE=1,133.883324,19.8191,153.70242399999998,153.70242399999998
2,100,e8/38133a,nf-e838133ad994632e5123a3c4ce841fb1-fea96,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr4_190173122-190204555,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555),hu-worker-c38,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.358,2025-11-15 09:30:29.000,2025-11-15 09:30:29.000,0.0,0ms,-,42.1,0.0%,3.2,4.3,3.2 MB,4.3 MB,0.1123,0.0039,235,48,1.9,0.012,1,2,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
3,98,0e/b90c28,nf-0eb90c284f928a6e4a8812d4bb90c05a-eec78,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr8_44033745-45877265,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265),hu-worker-c37,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.317,2025-11-15 09:30:29.000,2025-11-15 09:30:29.000,0.0,0ms,-,32.5,0.0%,3.0,4.3,3 MB,4.3 MB,0.1119,0.0036,235,48,4.0,0.012,4,5,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
4,104,23/ad10f2,nf-23ad10f2cbe604289c7ca458e22f0df5-7f097,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr1_122026460-124977944,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944),hu-worker-c38,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.406,2025-11-15 09:30:29.000,2025-11-15 09:30:29.000,0.0,0ms,-,50.4,0.0%,3.1,4.3,3.1 MB,4.3 MB,0.112,0.0037,238,48,0.0,0.012,1,2,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
5,110,c5/8c3589,nf-c58c35895b0f1c002b60815a82317149-6d476,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr9_41229379-41237752,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752),hu-worker-c37,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.467,2025-11-15 09:30:29.000,2025-11-15 09:30:29.000,0.0,0ms,-,30.8,0.0%,3.1,4.3,3.1 MB,4.3 MB,0.1129,0.004,261,48,4.0,0.012,7,6,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
6,93,cc/d43f29,nf-ccd43f29a4b2b9c59c07e49ddd39dfb6-4c6b2,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr4_10001-1429358,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358),hu-worker-c37,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.521,2025-11-15 09:30:29.000,2025-11-15 09:30:30.000,1.0,1s,-,19.8,0.0%,3.1,4.3,3.1 MB,4.3 MB,0.11209999999999999,0.0036,261,48,0.0,0.012,0,3,PYTHONNOUSERSITE=1,132.298002,19.673123,151.971125,151.971125
7,105,c3/7d4819,nf-c37d4819b49e9acc032a6b344162900a-3c31c,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr18_47019913-54536574,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574),hu-worker-c38,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.608,2025-11-15 09:30:29.000,2025-11-15 09:30:29.000,0.0,0ms,-,57.1,0.0%,3.1,4.3,3.1 MB,4.3 MB,0.11259999999999999,0.0039,235,48,0.0,0.012,1,1,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
8,107,cb/4abd77,nf-cb4abd772ad08929482a851087fa9962-d5e53,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr1_10001-207666,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666),hu-worker-c38,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.664,2025-11-15 09:30:32.000,2025-11-15 09:30:32.000,0.0,0ms,-,31.4,0.0%,3.0,4.3,3 MB,4.3 MB,0.1119,0.0035,236,48,0.0,0.012,1,0,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
9,94,8d/c041e8,nf-8dc041e868f8b0fea1f4d9ff44a651b8-2cbb8,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,chr12_37235253-37240944,NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944),hu-worker-c38,COMPLETED,0,-,quay.io/biocontainers/htslib:1.20--h5efdd21_2,1,4h,-,1 GB,1,2025-11-15 09:30:28.776,2025-11-15 09:30:35.000,2025-11-15 09:30:35.000,0.0,0ms,-,50.0,0.0%,3.1,4.3,3.1 MB,4.3 MB,0.112,0.0037,236,48,0.0,0.012,1,0,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0
