task_id,hash,native_id,process,name,status,exit,cpus,memory,submit,start,complete,duration,realtime,%cpu,peak_rss,peak_vmem,hostname,cpu_model
3,2b/32cbc9,nf-2b32cbc9841bbd915fec4fd82ca7e48f-eba98,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),COMPLETED,0,1,6442450944,1780970378068,1780970378000,1780970385000,6932,1000,17.8,2359296,11579392,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
1,15/80f338,nf-1580f338fff3db252c1993b5fdbe5513-eba9d,NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED,NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,16,25769803776,1780970379676,1780970380000,1780970411000,31324,25000,26.2,990117888,1023074304,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
2,bc/e3fe66,nf-bce3fe663d5ab781f335dd6d3e8d7617-7575e,NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,1,6442450944,1780970421052,1780970421000,1780970463000,41948,37000,28.0,4718592,10948608,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
10,f2/8d2b3c,nf-f28d2b3ca8e6ce1025467a2dd89b2bee-99818,NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,1,6442450944,1780970485784,1780970486000,1780970492000,6216,0,50.3,2359296,11579392,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
4,2c/57049a,nf-2c57049a8c679560485f05055ac8258f-c3bb4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (EZH2_IP_NTKO_REP1_T1),COMPLETED,0,32,45097156608,1780970558848,1780970559000,1780971516000,957152,952000,73.2,2901479424,351265349632,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
7,e5/67c014,nf-e567c01455471d5752025c4c3e33d82a-51497,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (EZH2_IP_NTKO_REP2_T1),COMPLETED,0,32,45097156608,1780970635905,1780970636000,1780971628000,992095,983000,81.7,3304374272,351333511168,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
14,6d/9353be,nf-6d9353be1450d900e49eacd02ef87f39-0d9be,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_E2_REP1_T1),COMPLETED,0,32,45097156608,1780971024691,1780971630000,1780971786000,761309,147000,66.5,2639577088,351418961920,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
5,29/d477b7,nf-29d477b739c694c9a5abfc5341a59c31-2d07b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1),COMPLETED,0,48,90194313216,1780970558833,1780970559000,1780971818000,1259167,1254000,454.3,6410182656,7961501696,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
15,ec/411226,nf-ec4112264ccef46443e58a1ad1d49219-dee1b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_E2_REP2_T1),COMPLETED,0,32,45097156608,1780971041065,1780971789000,1780971875000,833935,81000,74.9,2792517632,351401672704,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
6,e8/a42d55,nf-e8a42d55523c3f0cb6dc7716b20cd78e-2db06,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP2_T1),COMPLETED,0,48,90194313216,1780970635885,1780970636000,1780971934000,1298115,1289000,475.2,6385618944,8012308480,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
17,55/ce72f7,nf-55ce72f7bf53bcccbff6b19a852a004e-917ae,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_VEH_REP1_T1),COMPLETED,0,32,45097156608,1780971067532,1780971878000,1780972002000,934468,119000,80.9,3006300160,351403847680,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
